puzzle_id,fen_string,solution_moves,difficulty_elo,tag_id
531,ipsum primis in faucibus orci luctus,vel nulla eget,2351,175
532,at,phasellus in felis donec semper sapien a,2100,151
533,auctor sed tristique in,in faucibus orci luctus,364,143
534,ac est lacinia nisi,ridiculus mus etiam vel augue vestibulum rutrum,2936,163
535,non pretium,ipsum dolor sit amet consectetuer adipiscing elit,137,65
536,laoreet ut,ultrices enim lorem ipsum dolor sit amet consectetuer,183,287
537,et commodo vulputate,in porttitor pede justo,2340,270
538,eros,massa id nisl venenatis lacinia aenean sit amet,874,9
539,nibh,sit amet,96,169
540,molestie,eu sapien cursus vestibulum proin eu mi nulla ac,745,283
541,mauris eget massa,diam,2316,38
542,sit amet consectetuer,nunc proin at turpis a pede,470,230
543,vulputate vitae nisl aenean lectus,nunc rhoncus dui vel,2751,43
544,volutpat convallis morbi odio odio,turpis a pede posuere nonummy integer non velit,1842,147
545,sit amet eros suspendisse accumsan,lobortis ligula sit amet eleifend pede libero quis,232,194
546,nam ultrices,massa tempor convallis nulla neque libero convallis eget eleifend,639,137
547,quis libero,neque aenean,1305,78
548,tellus semper interdum,libero non mattis,2760,16
549,sociis natoque penatibus,ante vel ipsum praesent blandit lacinia erat vestibulum,2736,239
550,aliquet pulvinar,etiam vel augue vestibulum rutrum rutrum neque,517,106
551,rhoncus aliquam lacus morbi quis,nisl,1656,183
552,hac habitasse platea dictumst,consequat ut nulla sed accumsan,462,87
553,enim,tincidunt eu felis fusce posuere felis sed lacus morbi,2731,180
554,natoque penatibus et magnis,facilisi cras non velit nec,2205,40
555,justo morbi ut odio cras,ut dolor morbi vel lectus in quam fringilla rhoncus,2314,96
556,donec,dolor,1247,162
557,pharetra magna vestibulum aliquet,ultrices,1888,223
558,rutrum,quis turpis eget elit sodales scelerisque mauris sit,650,271
559,convallis nunc proin at turpis a,ut suscipit a feugiat et eros vestibulum ac,1656,188
560,in quam fringilla rhoncus mauris enim,nullam varius nulla facilisi cras non velit nec nisi,2922,298
561,eleifend,sit amet turpis elementum ligula vehicula consequat morbi a ipsum,236,190
562,fusce,leo odio porttitor id consequat in consequat ut nulla,2044,184
563,nulla nisl nunc,convallis morbi odio odio elementum eu interdum eu tincidunt,2839,248
564,ac nulla sed,purus,138,46
565,dis parturient,donec quis orci eget orci vehicula condimentum curabitur,333,103
566,fringilla rhoncus mauris enim leo,vestibulum velit id pretium iaculis diam erat fermentum justo nec,2549,103
567,orci luctus,lobortis sapien sapien non mi,2312,137
568,erat eros,praesent blandit lacinia erat vestibulum sed magna at nunc,222,286
569,venenatis lacinia aenean sit,justo morbi ut odio,170,286
570,tellus nulla ut,consequat in consequat,1901,132
571,molestie hendrerit,semper interdum mauris ullamcorper,1487,61
572,vitae ipsum aliquam non,ligula suspendisse ornare consequat lectus in est risus auctor,657,170
573,amet eleifend pede libero quis orci,nibh fusce lacus purus aliquet at feugiat non,1036,294
574,accumsan tortor quis turpis sed ante,sit amet consectetuer adipiscing,1763,252
575,at lorem integer tincidunt ante,pharetra magna ac consequat,564,51
576,convallis eget eleifend,nullam molestie,1550,262
577,ornare,consectetuer,669,169
578,iaculis,nisi volutpat eleifend donec ut dolor morbi vel lectus in,781,282
579,quam a odio,luctus ultricies eu,2405,257
580,morbi vestibulum velit id pretium,maecenas leo odio condimentum id luctus nec molestie,215,288
581,a nibh in quis justo maecenas,nunc commodo placerat praesent,965,164
582,neque vestibulum eget vulputate,sit amet nulla quisque arcu libero,2312,158
583,in eleifend quam a odio,magna bibendum imperdiet nullam orci pede venenatis,322,69
584,sed nisl,quam pharetra magna ac consequat,1885,298
585,blandit ultrices enim lorem ipsum dolor,at vulputate vitae,1781,97
586,faucibus,natoque penatibus et,2513,85
587,eget congue eget,semper sapien a libero nam dui,914,134
588,potenti,maecenas leo odio condimentum id luctus nec molestie sed justo,1241,21
589,condimentum id luctus nec molestie,nulla integer pede justo lacinia eget tincidunt eget,815,58
590,adipiscing elit proin,vestibulum quam sapien varius ut blandit non interdum in,1753,290
591,erat curabitur gravida nisi at,nonummy maecenas tincidunt lacus at velit vivamus vel,2756,203
592,sit amet nulla quisque,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis,1050,13
593,sed nisl nunc rhoncus,maecenas leo odio condimentum id luctus nec molestie sed justo,1416,83
594,in quis justo maecenas,id ornare,2280,240
595,amet nulla quisque arcu libero rutrum,eget congue eget semper rutrum nulla,2132,134
596,primis in faucibus,curabitur in libero ut massa,776,90
597,velit donec diam neque,vel enim sit amet,1568,144
598,nulla nunc purus phasellus in felis,molestie nibh in lectus pellentesque,1492,71
599,bibendum imperdiet nullam,ut at dolor quis odio consequat varius,2312,158
600,aliquet,amet sapien dignissim,1756,287
601,libero,nec sem duis aliquam convallis nunc proin at turpis,2509,67
602,eget nunc donec quis orci,quis augue luctus,461,174
603,pede,congue,2785,193
604,suscipit a feugiat et,eleifend pede libero quis orci nullam molestie nibh in,2731,51
605,urna pretium nisl ut,cras in purus eu magna vulputate luctus,2466,80
606,nisi volutpat,primis in faucibus orci luctus et ultrices posuere cubilia,346,274
607,pharetra magna vestibulum,cubilia curae mauris viverra diam vitae quam suspendisse,2015,209
608,ac,nec nisi vulputate nonummy maecenas,1760,233
609,ipsum primis,ligula pellentesque ultrices phasellus id sapien in sapien iaculis,916,279
610,placerat praesent,lectus pellentesque eget nunc donec quis orci,68,7
611,elementum pellentesque quisque porta volutpat erat,in faucibus orci luctus et ultrices posuere cubilia curae nulla,1214,120
612,id ornare imperdiet sapien urna,eget nunc donec quis orci eget orci vehicula condimentum curabitur,2786,131
613,congue vivamus metus arcu,dapibus duis at velit eu est congue,1197,183
614,ipsum aliquam non,dignissim vestibulum vestibulum ante ipsum primis,1429,300
615,lorem id ligula suspendisse,diam,732,137
616,curabitur in libero ut massa volutpat,in libero ut massa volutpat convallis morbi odio,682,144
617,curabitur gravida nisi,erat nulla tempus vivamus in felis eu sapien cursus,2437,198
618,nam tristique tortor eu pede,nullam,1572,230
619,viverra eget congue,ultrices posuere cubilia curae,599,27
620,nonummy maecenas tincidunt lacus,diam erat fermentum justo nec,544,217
621,luctus rutrum nulla,gravida sem praesent id,943,184
622,odio elementum eu interdum eu,vivamus in felis eu,2774,284
623,risus,nam dui proin leo odio porttitor,521,110
624,iaculis justo in,curabitur in libero ut massa volutpat convallis,1343,88
625,proin eu mi,eget nunc donec quis orci eget orci vehicula condimentum,880,291
626,gravida,donec,1037,120
627,suspendisse potenti in eleifend quam a,duis at velit eu est congue elementum,1180,245
628,non mattis pulvinar,lectus,2294,283
629,dui proin leo,congue eget semper rutrum nulla nunc purus phasellus in,2597,230
630,metus,pede ullamcorper augue a suscipit nulla,722,13
631,sit amet lobortis sapien sapien,dui vel nisl duis,1723,169
632,ut rhoncus aliquet pulvinar,integer ac neque duis bibendum,1870,43
633,turpis integer aliquet massa id,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,1038,258
634,orci pede venenatis non,quisque,1502,94
635,ligula nec sem duis,eleifend luctus ultricies eu nibh quisque id justo sit amet,1531,264
636,volutpat quam,curae donec pharetra magna vestibulum aliquet ultrices erat tortor,1191,77
637,orci nullam molestie nibh,orci luctus,2474,38
638,sodales sed tincidunt eu felis fusce,sed nisl nunc rhoncus dui vel sem sed,1826,71
639,lobortis est phasellus sit amet erat,vel sem sed sagittis nam congue risus semper porta,2506,141
640,risus semper porta,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,2144,125
641,velit eu est congue elementum in,at diam nam tristique tortor,2087,145
642,lacinia,duis faucibus accumsan odio curabitur convallis,2846,252
643,hac habitasse platea dictumst aliquam augue,justo lacinia eget,47,119
644,integer ac leo pellentesque,cursus vestibulum proin eu mi nulla,252,9
645,eros elementum pellentesque,in,2056,37
646,sit amet lobortis,cubilia curae nulla dapibus dolor,2875,19
647,ipsum aliquam non mauris morbi,vel,848,279
648,at turpis,iaculis justo in hac habitasse platea,2219,71
649,nunc commodo placerat,amet,2110,36
650,in lacus curabitur at ipsum,commodo placerat praesent blandit nam nulla,2669,115
651,tincidunt eget,dictumst morbi vestibulum velit id,2495,20
652,pellentesque,curae duis,1800,295
653,rutrum ac lobortis vel dapibus,sit amet nunc viverra dapibus nulla suscipit,328,75
654,tincidunt nulla mollis molestie,nibh in lectus pellentesque,422,73
655,risus dapibus augue vel accumsan,etiam vel augue vestibulum rutrum rutrum neque aenean auctor,932,280
656,tristique in,sem sed sagittis nam congue risus,1868,291
657,felis donec,erat nulla tempus vivamus in felis eu,2850,192
658,sed tincidunt eu felis fusce posuere,et ultrices posuere cubilia curae mauris,2032,190
659,libero ut massa,risus praesent lectus vestibulum quam sapien varius,1459,236
660,et ultrices posuere,nullam varius nulla,2302,265
661,morbi odio odio elementum eu,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu,1807,202
662,ut massa,adipiscing molestie hendrerit,749,106
663,pharetra magna,nibh,223,231
664,dapibus duis at velit eu est,interdum venenatis,500,276
665,magna,nunc viverra dapibus nulla suscipit ligula,1776,32
666,quisque erat eros viverra,sodales sed tincidunt eu felis fusce posuere felis sed lacus,2728,97
667,venenatis non sodales sed tincidunt,faucibus cursus,1891,38
668,metus,enim,398,264
669,nulla neque libero,nisl venenatis lacinia aenean,187,165
670,curabitur,blandit non,1326,204
671,nisl nunc rhoncus,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum,2628,108
672,est et tempus,malesuada in imperdiet et commodo,284,37
673,bibendum imperdiet nullam,id ligula suspendisse ornare consequat lectus in est risus auctor,1591,272
674,nunc proin at turpis,lorem ipsum dolor sit amet consectetuer adipiscing,665,154
675,aliquam,quisque erat eros viverra eget,2812,209
676,eros vestibulum ac est lacinia,cras in purus eu magna vulputate,786,230
677,turpis eget elit sodales,ac neque,1574,32
678,etiam pretium iaculis justo in,consequat in,2343,85
679,vel,condimentum,2541,59
680,sapien dignissim,phasellus id,356,92
681,nonummy integer non,mauris ullamcorper purus sit amet,74,83
682,odio,magna at nunc commodo placerat praesent blandit nam,2273,22
683,nam tristique tortor,ipsum aliquam non mauris,2549,237
684,lectus pellentesque eget nunc donec quis,erat eros,931,220
685,facilisi cras,lorem,1389,179
686,aliquam augue quam sollicitudin vitae,quisque porta volutpat erat quisque erat eros viverra,373,141
687,arcu sed augue aliquam erat,ut,2213,291
688,pede justo lacinia eget tincidunt,pellentesque ultrices phasellus id sapien,1166,145
689,ut,integer ac neque duis bibendum morbi non quam,2412,102
690,cursus vestibulum proin eu mi nulla,maecenas tincidunt,1838,7
691,posuere,phasellus in felis donec semper,2822,87
692,cubilia curae nulla dapibus dolor,in eleifend quam a odio,1502,99
693,tristique in,duis consequat dui nec,2969,122
694,magna ac consequat metus sapien ut,duis ac nibh fusce lacus purus aliquet at feugiat,2473,109
695,interdum in ante vestibulum,vestibulum ante ipsum primis in faucibus orci luctus et,2884,242
696,eleifend pede,adipiscing molestie hendrerit at vulputate vitae,2193,241
697,nulla,erat tortor sollicitudin mi sit amet lobortis sapien sapien non,1807,202
698,rutrum nulla,id ornare imperdiet sapien urna pretium nisl ut,1154,124
699,vestibulum sed magna at nunc,donec quis orci eget orci vehicula,536,144
700,nec euismod,pretium iaculis diam erat,1707,112
701,donec,dui vel sem sed sagittis nam congue risus semper porta,2357,80
702,hac habitasse platea dictumst,nec,1797,41
703,turpis adipiscing,gravida nisi,1148,119
704,lectus pellentesque,congue risus semper porta volutpat quam pede lobortis,1799,274
705,amet erat nulla tempus vivamus in,sapien dignissim vestibulum vestibulum,986,15
706,proin,volutpat eleifend donec ut dolor morbi,105,168
707,malesuada in imperdiet et commodo,ac lobortis vel dapibus at diam nam,2020,138
708,in congue etiam,in felis eu sapien cursus vestibulum proin,1425,191
709,vel augue vestibulum ante ipsum primis,placerat praesent blandit nam nulla integer,643,231
710,cras,tempor,613,110
711,lobortis convallis tortor risus,augue aliquam,1325,93
712,ipsum ac tellus semper interdum mauris,integer ac,1722,249
713,leo odio,proin risus praesent lectus vestibulum quam sapien varius,2683,163
714,quis,auctor sed tristique in tempus sit amet sem,989,300
715,venenatis,mollis molestie lorem quisque ut,398,57
716,mattis egestas metus aenean,vulputate nonummy maecenas tincidunt lacus at velit,2951,11
717,nisi vulputate nonummy,mi sit,728,12
718,dolor quis odio,eleifend donec ut dolor morbi,1865,3
719,molestie nibh in lectus,amet justo morbi ut odio cras,515,248
720,faucibus,adipiscing molestie hendrerit at vulputate vitae nisl,1760,109
721,faucibus,in lacus curabitur at ipsum ac tellus semper interdum,1642,205
722,sed,vulputate,526,134
723,maecenas pulvinar,nisl venenatis,359,298
724,id sapien in sapien iaculis congue,libero nam dui proin,2675,65
725,lorem integer tincidunt ante vel ipsum,varius ut blandit non interdum in ante vestibulum ante ipsum,1569,62
726,nullam varius nulla facilisi,curae donec pharetra magna vestibulum,1171,20
727,porta volutpat quam,dictumst maecenas,478,214
728,aliquet at feugiat non pretium,nisl ut,216,126
729,pellentesque quisque porta,curae nulla dapibus dolor vel,2878,12
730,aliquet massa,sapien,914,17
731,dignissim vestibulum vestibulum,dolor sit amet,1635,232
732,in lectus pellentesque at nulla suspendisse,lobortis convallis tortor risus dapibus augue vel accumsan tellus,2824,199
733,vivamus in felis eu sapien cursus,porttitor lacus at turpis donec posuere metus vitae,2274,257
734,vestibulum sit amet cursus id turpis,posuere,2065,90
735,nisi venenatis,duis consequat dui nec nisi volutpat eleifend donec ut,2790,142
736,consequat morbi a ipsum integer,nulla dapibus dolor vel est,2522,208
737,ultrices posuere cubilia curae,sit amet nunc viverra dapibus nulla suscipit ligula in,721,10
738,luctus,in lacus curabitur at ipsum ac tellus,2233,21
739,turpis donec posuere metus,ut erat id mauris vulputate elementum nullam varius nulla,2040,175
740,urna ut tellus nulla,vestibulum sagittis sapien cum,2510,159
741,vel augue vestibulum rutrum rutrum neque,augue quam sollicitudin vitae consectetuer eget rutrum,1418,53
742,blandit,sed vestibulum,984,297
743,platea dictumst morbi vestibulum velit,mi sit amet lobortis,1823,239
744,integer non velit,ut blandit non interdum in ante vestibulum ante ipsum primis,1479,95
745,platea,eget eros elementum,1750,61
746,sit amet nulla quisque arcu libero,leo odio porttitor id consequat in consequat ut nulla sed,2834,20
747,praesent id massa,duis faucibus accumsan odio,2614,157
748,lectus in quam fringilla rhoncus,id luctus nec molestie sed justo pellentesque,1826,296
749,sed tincidunt eu felis fusce posuere,sapien a libero nam dui proin leo odio porttitor,237,229
750,natoque penatibus et magnis dis,ipsum primis in faucibus orci,1256,226
751,sit amet,amet lobortis,249,76
752,morbi non quam nec dui,vivamus metus arcu adipiscing molestie hendrerit,2294,265
753,quis augue luctus,placerat ante nulla justo aliquam quis turpis eget,1438,48
754,posuere cubilia curae duis faucibus accumsan,proin eu mi nulla ac,1439,230
755,sit,magna vestibulum aliquet ultrices,148,47
756,morbi ut odio cras mi,quis tortor id nulla,261,154
757,duis bibendum morbi non,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,1270,141
758,mauris,molestie sed justo pellentesque viverra pede ac,1196,157
759,ipsum primis in,mauris laoreet ut rhoncus aliquet pulvinar sed nisl,134,100
760,sem fusce consequat nulla,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis,2712,77
761,vel,lacus at velit vivamus vel nulla eget eros,2274,155
762,nec nisi vulputate nonummy maecenas,sed tincidunt eu felis fusce posuere felis sed,2177,57
763,eget,consequat varius integer ac leo pellentesque ultrices mattis,2838,113
764,nam dui proin leo odio,felis sed,167,16
765,turpis,mauris vulputate elementum,131,62
766,elit proin risus praesent lectus vestibulum,nonummy maecenas tincidunt lacus at velit vivamus vel,1476,87
767,nulla quisque arcu libero rutrum ac,duis ac nibh fusce,284,296
768,diam,vulputate vitae nisl,187,202
769,suscipit a feugiat et eros,in faucibus orci luctus,68,183
770,lectus,consectetuer eget rutrum at lorem,1944,166
771,lacus curabitur at,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at,2721,250
772,sapien arcu,magnis,1208,121
773,in hac,mi pede malesuada in imperdiet et commodo vulputate justo,2037,153
774,ac neque duis bibendum morbi non,magna at,1488,197
775,sodales sed,nisi venenatis tristique fusce congue diam id ornare imperdiet,2682,289
776,nisi eu orci mauris lacinia,pede ac diam cras,2385,50
777,egestas metus aenean fermentum donec ut,tortor quis turpis sed,253,240
778,cubilia curae duis faucibus,eget rutrum at,2384,194
779,dolor vel est,sapien a libero nam dui proin leo odio porttitor,172,78
780,sodales sed tincidunt eu,orci luctus et ultrices posuere cubilia,1403,268
781,lorem quisque ut,consectetuer eget rutrum,2438,50
782,varius,consequat lectus,1617,287
783,lectus,id turpis integer aliquet massa id lobortis convallis tortor risus,1215,224
784,tempus vivamus in felis eu,mi nulla ac enim in tempor turpis nec euismod scelerisque,1446,119
785,condimentum,ipsum primis in faucibus orci luctus,2789,92
786,porta volutpat quam pede lobortis ligula,vel nisl duis ac nibh,138,270
787,interdum,ipsum aliquam non mauris,2881,21
788,natoque,tincidunt,1744,261
789,libero non mattis pulvinar,tincidunt ante vel ipsum praesent blandit lacinia erat,1849,57
790,risus auctor sed tristique in,semper est,302,169
791,etiam faucibus cursus urna,leo odio porttitor id consequat in consequat,2167,285
792,consequat metus,lacus purus aliquet at,806,280
793,pede justo,turpis,1618,298
794,vulputate justo in blandit,nibh in hac habitasse platea dictumst,193,268
795,eros viverra eget congue eget,accumsan tellus nisi eu,440,8
796,vestibulum vestibulum,a pede posuere nonummy,2429,44
797,lorem,platea dictumst etiam,2560,247
798,porta,pede,258,70
799,mi in porttitor pede justo eu,ante ipsum primis in,1227,281
800,ipsum primis in faucibus orci,blandit mi in porttitor pede justo eu massa,133,1
